S1,S1_50,S1_20,S1_5,S1_1,S2
429.3930053710938,490.0484561920166*,590.0484561920166*,390.0484561920166*,142.97890663146973,690.0484561920166
65.52600860595703,48.83742332458496,53.26747894287109,26.337623596191406,56.41055107116699,104.32147979736328
47.39499092102051,50.39453506469727,43.091773986816406,16.442298889160156,106.25123977661131,76.13205909729004
56.082963943481445,55.49073219299317,44.24428939819336,60.95576286315918,75.60300827026367,166.14508628845215
60.07957458496094,16.168832778930664,46.88620567321777,39.80159759521485,158.3402156829834,111.9997501373291
63.78960609436035,35.2625846862793,42.85621643066406,113.71922492980956*,98.51193428039552,123.3525276184082
50.05240440368652,89.99228477478027,42.752742767333984,51.31101608276367,144.86098289489746,348.3304977416992
46.76198959350586,51.21254920959473,41.27216339111328,16.59226417541504,109.47513580322266,814.2354488372803
68.14980506896973,43.13445091247559,52.41680145263672,41.38398170471192,70.6171989440918,134.19103622436523
63.92955780029297,48.35700988769531,46.87952995300293,49.4999885559082,72.14045524597168,69.81992721557617
37.54901885986328,46.70310020446777,36.87787055969238,71.92182540893555*,155.51304817199707,89.79368209838867
31.221866607666016,32.05084800720215,49.46732521057129,47.19066619873047,94.41757202148438,126.8789768218994
36.07821464538574,43.091773986816406,17.124414443969727,19.202232360839844,56.62703514099121,123.62837791442873
55.21082878112793,27.55045890808105,41.25404357910156,65.15789031982422,46.63658142089844,126.18207931518556
55.09448051452637,44.77667808532715,26.673316955566406,50.6291389465332,69.14997100830078,112.36214637756348
40.41624069213867,50.81033706665039,51.91159248352051,242.8593635559082*,145.52640914916992,136.65366172790527
65.15789031982422,47.65653610229492,44.771671295166016,54.63433265686035,102.58173942565918,50.95791816711426
59.04841423034668,55.21082878112793,50.39095878601074,43.80202293395996,123.81792068481444,94.5265293121338
26.673316955566406,27.83465385437012,47.68180847167969,55.21082878112793,83.77194404602051,336.256742477417
60.8978271484375,16.530990600585938,41.28360748291016,48.949480056762695,145.7650661468506,226.6089916229248
56.14066123962402,16.853809356689453,67.8708553314209*,128.91769409179688*,82.09037780761719,64.1028881072998
53.25388908386231,49.70836639404297,43.91169548034668,19.846677780151367,244.45009231567383,63.93504142761231
43.33209991455078,20.62058448791504,43.29085350036621,47.443389892578125,150.1922607421875,139.26410675048828
52.49285697937012,48.07281494140625,47.04427719116211,44.8765754699707,52.190542221069336,120.62907218933104
53.61032485961914,44.47293281555176,45.02606391906738,17.728090286254883,137.82405853271484,129.12964820861816
57.86347389221192,46.76675796508789,41.37444496154785,66.08390808105469*,45.4702377319336,115.16094207763672
31.905651092529297,24.2311954498291,30.074119567871094,53.879499435424805,71.1057186126709,127.7785301208496
28.598308563232425,46.87857627868652,50.078392028808594,46.709299087524414,156.34822845458984,69.75483894348145
55.49073219299317,47.71113395690918,46.779632568359375,47.65224456787109,74.35727119445801,75.40512084960938
22.862672805786133,57.23261833190918,50.23479461669922,37.88852691650391,183.23469161987305,137.3887062072754
45.0739860534668,25.871753692626957,51.31101608276367,49.48878288269043*,99.73502159118652,124.19509887695312
25.76613426208496,37.99605369567871,48.50363731384277,45.77922821044922,93.02949905395508,117.86890029907228
35.31599044799805,44.38972473144531,46.22936248779297,41.86224937438965,69.21792030334473,133.05401802062988
33.79011154174805,57.01327323913574,39.14618492126465,50.87971687316895,109.0407371520996,125.0741481781006
48.949480056762695,16.05677604675293,60.95576286315918,16.853809356689453,350.254774093628,120.07451057434082
65.57297706604004,45.60089111328125,45.59993743896485,234.2438697814941*,107.15770721435548,128.80349159240723
25.495052337646484,46.11849784851074,46.76198959350586,17.431259155273438,44.71755027770996,124.74417686462402
32.31143951416016,53.879499435424805,45.710086822509766,25.88939666748047,66.18189811706543,125.90265274047852
