ACTIE Duration (Green),ACTIE Persist Duration (Blue),BASE Duration (Red)
65.76251983642578,361.9210720062256,1534.304141998291
66.24698638916016,175.32992362976074,141.78705215454102
58.32099914550781,81.65264129638672,150.55513381958008
56.378841400146484,125.59318542480469,138.441801071167
70.91927528381348,180.69720268249512,162.0182991027832
73.67944717407227,98.54722023010254,113.55900764465332
47.664642333984375,86.67182922363281,94.67053413391113
71.26879692077637,108.46734046936035,521.3851928710938
77.21710205078125,212.1131420135498,96.54664993286133
58.42018127441406,103.77669334411621,115.39149284362793
54.743051528930664,64.00012969970703,93.85991096496582
37.508487701416016,63.559770584106445,49.61657524108887
66.15996360778809,50.05955696105957,415.76361656188965
69.44584846496582,416.229248046875,109.96603965759277
88.81235122680664,145.54595947265625,168.6990261077881
77.7132511138916,197.77512550354004,122.77054786682129
45.07255554199219,93.79982948303223,84.72704887390137
64.1167163848877,174.78227615356445,126.37472152709961
71.49744033813477,82.8542709350586,159.682035446167
69.08512115478516,49.68547821044922,141.70384407043457
84.86604690551758,212.4488353729248,128.73482704162598
69.23818588256836,132.1251392364502,146.33536338806152
62.19959259033203,49.81231689453125,382.9381465911865
73.04143905639648,133.73160362243652,92.55266189575195
64.98456001281738,169.1417694091797,193.80426406860352
62.009572982788086,127.50554084777832,93.95718574523926
74.26571846008301,175.83894729614258,81.9556713104248
57.69538879394531,121.90556526184082,284.61456298828125
63.947200775146484,149.35302734375,719.8512554168701
60.72187423706055,431.4858913421631,170.02105712890625
58.11333656311035,175.38022994995117,161.64708137512207
75.87313652038574,229.23517227172852,147.18890190124512
49.492835998535156,200.54340362548828,151.43847465515137
67.05355644226074,146.81124687194824,124.04656410217285
62.22057342529297,537.3883247375488,428.66063117980957
92.73076057434082,183.78376960754395,76.11966133117676
70.14107704162598,151.53026580810547,91.96233749389648
70.47057151794434,145.83635330200195,210.50119400024414
73.1041431427002,143.57542991638184,95.4287052154541
64.56375122070312,386.7959976196289,105.37433624267578
34.22427177429199,310.8201026916504,151.5343189239502
83.85610580444336,248.92950057983398,125.54001808166504
88.03820610046387,177.7353286743164,157.64689445495605
71.19965553283691,146.75045013427734,156.4030647277832
63.968658447265625,110.17131805419922,152.62222290039062
65.22178649902344,252.69150733947754,65.19627571105957
55.20272254943848,154.19912338256836,126.98221206665039
66.0252571105957,176.1915683746338,132.645845413208
44.28243637084961,237.07318305969238,165.330171585083
67.17324256896973,214.2810821533203,417.7114963531494
88.06037902832031,169.51346397399902,159.4533920288086
54.673194885253906,119.23789978027344,113.64364624023438
73.29893112182617,139.9822235107422,102.02455520629883
64.26167488098145,115.77963829040527,144.01507377624512
57.13462829589844,75.83737373352051,147.72725105285645
56.4730167388916,164.92986679077148,240.0045394897461
55.57560920715332,294.99006271362305,161.9260311126709
67.53158569335938,254.7612190246582,158.26725959777832
31.463623046875,159.34419631958,291.7001247406006
66.98465347290039,132.216453552246,99.7624397277832
72.95894622802734,156.7609786987305,153.9745330810547
74.33629035949707,346.91762924194336,401.28016471862793
65.78326225280762,506.6816806793213,202.46100425720215
